Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
bessellb,aligned_supersecret_B_2459693d7815873581_2022d04d24T06d36d19d594_1a2291179_99d946_kb27_sophiarisin1.fit,1,0,59693.77581,2459693.776,NaN,NaN,2459693.781,1.229118,NaN,NaN,99.946,NaN,NaN,4.282307,7,13,20,0.410958,1.469015,0.680728,0.005857,0.022336,0.01035,70.162652,65.768869,65.768869,36590.90835,265.760878,1499.408729,969.525318,1499.908729,1032.974682,12.726204,11.57665,15037.32482,153.93804,184.405008,13.447957,0.015365,81.5451,830.128113,97.684268,213.734128,725.707903,4.418355,6.291376,6.792319,5.790432,340.574011,0.958711,1185.070227,457.557212,1185.570227,1544.942788,12.731794,11.624845,21770.86679,192.345845,13.24,0.00955,113.186052,1156.273438,141.426166,211.317426,4.020689,6.49179,6.76882,6.214759,354.640608,0.992482,2274.944082,612.254767,2275.444082,1390.245233,12.72989,11.452599,14820.04156,183.390077,13.23,0.013353,80.811578,834.316223,96.27277,210.697449,4.407878,6.297587,6.682006,5.913169,349.4645,0.98301
bessellb,aligned_supersecret_B_2459693d7829099749_2022d04d24T06d38d13d886_1a2224569_99d942_kb27_sophiarisin1.fit,2,0,59693.77713,2459693.777,NaN,NaN,2459693.782,1.222457,NaN,NaN,99.942,NaN,NaN,5.813633,7,13,20,0.440369,1.483913,0.673894,0.007065,0.026605,0.012082,62.335361,55.776545,55.776545,30394.92483,259.368821,1499.672165,969.710897,1500.172165,1032.789103,12.726204,11.57664,13384.97883,153.93804,181.82742,13.372909,0.017279,73.613643,731.947998,86.95043,211.965369,725.707903,4.524355,6.574773,7.01524,6.134306,348.636902,0.979086,1185.303724,457.810079,1185.803724,1544.689921,12.731795,11.62484,18158.21525,187.257604,13.24,0.011139,96.969175,980.503174,117.957948,208.940486,4.160305,6.506237,6.860661,6.151813,346.540032,0.985158,2275.132247,612.567818,2275.632247,1389.932182,12.72989,11.452581,12236.70958,179.462462,13.23,0.015808,68.185343,687.119324,79.491135,208.503021,4.473931,6.316119,6.639435,5.992803,355.823687,0.989349
bessellb,aligned_supersecret_B_2459693d7842325121_2022d04d24T06d40d08d282_1a2159139_99d941_kb27_sophiarisin1.fit,3,0,59693.77845,2459693.778,NaN,NaN,2459693.784,1.215914,NaN,NaN,99.941,NaN,NaN,6.03291,7,13,20,0.446518,1.459459,0.685186,0.00513,0.018833,0.008842,87.033931,77.494471,77.494471,43986.1615,271.912509,1499.214385,970.048517,1499.714385,1032.451483,12.7262,11.57662,19640.61449,153.93804,190.220668,13.357853,0.012404,103.251737,1079.854126,127.587791,213.583985,725.707903,4.048667,6.2998,6.665095,5.934505,339.126579,0.976001,1184.942383,458.137081,1185.442383,1544.362919,12.731793,11.624858,26101.67146,197.4117,13.24,0.008181,132.219476,1485.571045,169.559593,210.328982,3.999003,6.269346,6.747702,5.79099,345.691679,0.97013,2274.691658,612.870285,2275.191658,1389.629715,12.729889,11.452592,17884.49005,186.989394,13.23,0.011293,95.644409,1036.379517,116.179796,209.277782,4.237427,6.150256,6.566238,5.734274,349.974929,0.979452
bessellb,aligned_supersecret_B_2459693d7855665949_2022d04d24T06d42d03d596_1a2095001_99d948_kb27_sophiarisin1.fit,4,0,59693.77979,2459693.78,NaN,NaN,2459693.785,1.2095,NaN,NaN,99.948,NaN,NaN,5.465754,7,13,20,0.448834,1.446469,0.691339,0.003052,0.011054,0.005283,147.054668,130.850523,130.850523,82418.22911,303.826685,1499.118362,970.166246,1499.618362,1032.333754,12.726201,11.576715,36992.13641,153.93804,211.383624,13.352235,0.007358,175.000011,2543.438232,240.305362,216.245628,725.707903,3.338653,5.747917,5.984947,5.510887,336.139094,0.985021,1184.94954,458.187902,1185.44954,1544.312098,12.731792,11.624867,48729.58642,223.276646,13.24,0.004963,218.247574,3514.682861,316.553247,211.520555,3.406982,5.628235,5.825866,5.430603,333.045754,0.985822,2274.753366,612.856341,2275.253366,1389.643659,12.72989,11.452624,33688.64269,206.053861,13.23,0.006621,163.494353,2644.650635,218.84547,208.910486,3.618718,5.416423,5.719728,5.113117,343.957404,0.982636
bessellb,aligned_supersecret_B_2459693d7868776098_2022d04d24T06d43d57d052_1a2032978_99d944_kb27_sophiarisin1.fit,5,0,59693.7811,2459693.781,NaN,NaN,2459693.786,1.203298,NaN,NaN,99.944,NaN,NaN,5.744274,7,13,20,0.443438,1.507969,0.663144,0.003181,0.012185,0.005359,139.406909,123.752795,123.752795,77770.97215,300.253696,1498.698914,968.82781,1499.198914,1033.67219,12.726207,11.576748,34486.61281,153.93804,208.494665,13.365368,0.00776,165.407651,1928.042114,224.02918,216.021672,725.707903,3.860693,6.166115,6.673004,5.659226,341.935548,0.959119,1184.434708,456.932659,1184.934708,1545.567341,12.731797,11.624894,46761.42658,221.003969,13.24,0.005119,211.586365,2553.727539,303.767844,210.704801,3.811751,5.989088,6.440653,5.537523,342.581734,0.966627,2274.260554,611.630139,2274.760554,1390.869861,12.729895,11.452659,31009.54557,203.247454,13.23,0.007093,152.570401,1830.787598,201.441733,210.340928,4.094623,5.874524,6.378697,5.370352,343.325554,0.958392
bessellb,aligned_supersecret_B_2459693d9034981271_2022d04d24T09d31d53d762_1a0227473_99d943_kb27_sophiarisin1.fit,6,0,59693.89773,2459693.898,NaN,NaN,2459693.903,1.022747,NaN,NaN,99.943,NaN,NaN,5.747437,7,13,20,0.448592,1.420023,0.704214,0.010381,0.036841,0.01827,43.211203,38.544935,38.544935,20102.16244,250.301452,1499.01333,969.092052,1499.51333,1033.407948,12.726206,11.576655,9017.661628,153.93804,175.906794,13.352823,0.02484,51.263862,640.646179,58.579813,211.533905,725.707903,3.881727,6.585727,6.891876,6.279578,335.618093,0.980191,1184.344141,457.360211,1184.844141,1545.139789,12.731794,11.624856,11795.56313,179.317766,13.24,0.016381,65.780226,854.201721,76.625395,210.282974,3.712444,6.34264,6.620037,6.065243,333.414704,0.978788,2274.397265,611.614363,2274.897265,1390.885637,12.72989,11.4526,8306.59931,174.630912,13.23,0.022589,47.566603,604.304321,53.960667,210.311172,3.903868,6.485517,6.827675,6.14336,339.358985,0.980394
bessellb,aligned_supersecret_B_2459693d9048091988_2022d04d24T09d33d46d968_1a0238999_99d939_kb27_sophiarisin1.fit,7,0,59693.89904,2459693.899,NaN,NaN,2459693.904,1.0239,NaN,NaN,99.939,NaN,NaN,6.123258,7,13,20,0.429233,1.452362,0.688534,0.008339,0.030866,0.014633,51.473961,47.0541,47.0541,25083.86255,254.777867,1498.406247,969.144329,1498.906247,1033.355671,12.726206,11.576823,10766.81595,153.93804,178.305233,13.400718,0.020891,60.384184,726.593079,69.94253,211.721073,725.707903,4.060098,6.474299,6.716365,6.232232,358.868147,0.994415,1183.953337,457.091782,1184.453337,1545.408218,12.7318,11.624921,14855.41264,183.242366,13.24,0.013311,81.069749,836.873718,96.502545,209.898488,4.241743,6.52285,6.688641,6.357058,334.525979,0.993498,2273.897332,611.320284,2274.397332,1391.179716,12.729892,11.452703,10228.44991,177.014114,13.23,0.018629,57.783245,702.296997,66.445239,209.443216,4.320498,6.324391,6.406921,6.24186,328.98806,0.996906
bessellb,aligned_supersecret_B_2459693d9061200698_2022d04d24T09d35d40d129_1a0251231_99d935_kb27_sophiarisin1.fit,8,0,59693.90035,2459693.9,NaN,NaN,2459693.906,1.025123,NaN,NaN,99.935,NaN,NaN,5.842962,7,13,20,0.457155,1.462102,0.683947,0.008926,0.03264,0.015268,51.218188,44.79468,44.79468,23797.91401,253.416874,1499.447268,969.42753,1499.947268,1033.07247,12.726207,11.576665,10879.32992,153.93804,178.037171,13.332292,0.020994,61.10707,742.381836,70.673434,210.043079,725.707903,3.836772,6.458269,6.518535,6.398004,326.058355,0.997543,1185.041091,457.626519,1185.541091,1544.873481,12.731797,11.624839,14132.22512,182.159865,13.24,0.013905,77.581443,925.726196,91.804632,209.322613,3.803311,6.246672,6.233463,6.25988,313.390512,0.994328,2274.995244,611.894997,2275.495244,1390.605003,12.72989,11.452598,9665.688889,176.175752,13.23,0.019611,54.8639,703.759766,62.789476,209.126801,3.765546,6.141337,6.253754,6.02892,326.920338,0.991802
bessellb,aligned_supersecret_B_2459694d5826053778_2022d04d25T01d49d50d547_1a4478342_100d284_kb26_sophiarisin1.fit,9,0,59694.57686,2459694.577,NaN,NaN,2459694.582,1.447834,NaN,NaN,100.284,NaN,NaN,7.082296,7,13,20,0.447337,1.453556,0.687968,0.003684,0.013463,0.006372,121.429855,107.963694,107.963694,64864.67646,288.948258,1500.282104,969.626071,1500.782104,1032.873929,12.726202,11.576664,29016.33865,153.93804,200.978502,13.355865,0.008905,144.375336,1119.937256,188.493621,210.695956,725.707903,4.985624,6.704052,6.706411,6.701692,43.350249,0.99985,1203.263415,449.913683,1203.763415,1552.586317,12.731792,11.624866,38427.67404,211.363486,13.24,0.005956,181.80848,1472.066895,249.630787,208.45154,5.270862,6.608288,6.675447,6.541128,35.620446,0.996006,2283.668725,637.856318,2284.168725,1364.643682,12.72989,11.452607,26437.00242,197.019219,13.23,0.008061,134.184891,1095.001465,171.737943,206.78467,5.14744,6.350157,6.502956,6.197357,15.736878,0.99682
bessellb,aligned_supersecret_B_2459694d5838571158_2022d04d25T01d51d39d088_1a4428224_100d283_kb26_sophiarisin1.fit,10,0,59694.57812,2459694.578,NaN,NaN,2459694.583,1.442822,NaN,NaN,100.283,NaN,NaN,7.392312,7,13,20,0.455175,1.49115,0.670623,0.003738,0.013993,0.006293,121.778791,106.567638,106.567638,64315.52005,288.672689,1500.070246,969.987355,1500.570246,1032.512645,12.726202,11.576687,29274.79117,153.93804,201.305361,13.337005,0.008879,145.424796,1253.77478,190.17256,210.790707,725.707903,4.854043,6.462694,6.299916,6.625471,74.081366,0.996488,1203.147989,450.324426,1203.647989,1552.175574,12.731793,11.624866,38497.91417,211.607604,13.24,0.005952,181.930675,1424.229736,250.087075,209.237203,5.152951,6.514951,6.536229,6.493673,41.623753,0.996914,2283.429615,638.165466,2283.929615,1364.334534,12.72989,11.452629,25817.60588,196.35209,13.23,0.008226,131.48628,1084.024902,167.714269,207.150695,5.087646,6.241085,6.255386,6.226783,40.103418,0.999274
