Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
sdssi,aligned_supersecret_ip_2459693d7696946221_2022d04d24T06d18d22d639_1a2963605_199d949_kb27_sophiarisin1.fit,1,0,59693.76392,2459693.764,NaN,NaN,2459693.769,1.29636,NaN,NaN,199.949,NaN,NaN,3.697022,7,13,20,0.199985,1.373933,0.727838,0.000467,0.002383,0.001263,427.983211,576.468432,576.468432,785506.763,670.085805,1499.767796,969.940007,1500.267796,1032.559993,12.726203,11.576668,157089.7984,153.93804,341.709344,14.229955,0.002534,459.717596,9661.454102,1020.474201,382.429344,725.707903,3.706485,5.425864,5.97143,4.880299,350.18473,0.955322,1185.578897,457.924596,1186.078897,1544.575404,12.731793,11.624837,454618.3525,504.203141,13.24,0.001203,901.65712,26137.53711,2953.255429,334.881978,3.715322,5.59841,6.038584,5.158236,354.948688,0.9748,2275.475065,612.762832,2275.975065,1389.737168,12.729891,11.452599,330888.4106,441.354935,13.23,0.001447,749.710459,19803.24219,2149.490863,329.169074,3.669261,5.441259,5.892737,4.989782,352.294206,0.970773
sdssi,aligned_supersecret_ip_2459693d7721658498_2022d04d24T06d21d55d849_1a2812628_199d938_kb27_sophiarisin1.fit,2,0,59693.76639,2459693.766,NaN,NaN,2459693.771,1.281263,NaN,NaN,199.938,NaN,NaN,4.887107,7,13,20,0.199403,1.373902,0.727854,0.0004,0.002072,0.001098,499.087965,662.979138,662.979138,1000153.717,742.391301,1499.472345,969.355883,1499.972345,1033.144117,12.726203,11.576669,199433.4942,153.93804,371.163743,14.233122,0.002173,537.319438,15559.99121,1295.543935,391.811093,725.707903,3.635342,4.992286,5.380199,4.604372,348.811419,0.972094,1185.281415,457.360777,1185.781415,1545.139223,12.731793,11.624837,578841.5233,559.700219,13.24,0.001049,1034.199208,40177.91016,3760.224069,333.640048,3.736813,5.346559,5.669278,5.023841,353.708885,0.984812,2275.210657,612.150223,2275.710657,1390.349777,12.729891,11.452596,421312.1934,487.729955,13.23,0.001256,863.822673,29235.91211,2736.894619,329.477451,3.592144,5.168647,5.52604,4.811255,351.107819,0.979108
sdssi,aligned_supersecret_ip_2459693d7746600681_2022d04d24T06d25d31d820_1a2666161_199d942_kb27_sophiarisin1.fit,3,0,59693.76889,2459693.769,NaN,NaN,2459693.774,1.266616,NaN,NaN,199.942,NaN,NaN,5.491119,7,13,20,0.200477,1.380128,0.724571,0.000477,0.00244,0.001281,420.041544,565.693857,565.693857,761451.2362,661.558295,1499.574875,969.740918,1500.074875,1032.759082,12.726203,11.576669,152653.3911,153.93804,338.35988,14.22729,0.002582,451.15689,9114.342773,991.654766,380.569151,725.707903,3.782804,5.499454,5.623911,5.374998,4.272773,0.997907,1185.365333,457.747954,1185.865333,1544.752046,12.731793,11.62484,441530.9073,498.057025,13.24,0.001224,886.506735,23801.41406,2868.237813,335.693632,3.915903,5.766696,5.881318,5.652074,13.885888,0.997983,2275.278113,612.483938,2275.778113,1390.016062,12.729891,11.452599,319920.3289,435.429187,13.23,0.001477,734.724125,17831.75,2078.240887,329.476365,3.887544,5.654817,5.766846,5.542789,9.563843,0.998243
sdssi,aligned_supersecret_ip_2459693d7771311300_2022d04d24T06d29d05d033_1a2527464_199d953_kb27_sophiarisin1.fit,4,0,59693.77135,2459693.771,NaN,NaN,2459693.776,1.252746,NaN,NaN,199.953,NaN,NaN,5.47211,7,13,20,0.202733,1.384733,0.722161,0.000836,0.004018,0.002095,242.490584,344.657776,344.657776,343972.8443,488.490819,1498.821186,969.835838,1499.321186,1032.664162,12.726202,11.576673,69734.69759,153.93804,269.986851,14.215139,0.004468,258.289236,4997.344727,453.004972,356.828508,725.707903,3.430532,5.190318,5.406083,4.974553,356.216663,0.99299,1184.603329,457.808554,1185.103329,1544.691446,12.731793,11.624846,199733.2565,364.238632,13.24,0.001978,548.358244,12265.62012,1297.491228,332.887939,3.730031,5.516304,5.680275,5.352333,6.804489,0.996265,2274.549088,612.52505,2275.049088,1389.97495,12.729891,11.452596,144239.5877,325.504991,13.23,0.002447,443.125579,9561.101562,936.997689,329.615963,3.764648,5.281646,5.477893,5.085399,359.72962,0.994492
sdssi,aligned_supersecret_ip_2459693d7796021518_2022d04d24T06d32d38d307_1a2394536_199d941_kb27_sophiarisin1.fit,5,0,59693.77382,2459693.774,NaN,NaN,2459693.778,1.239454,NaN,NaN,199.941,NaN,NaN,5.328941,7,13,20,0.198625,1.371754,0.728994,0.00117,0.005381,0.00286,169.807898,254.925998,254.925998,220693.9924,423.185855,1498.834232,969.50025,1499.334232,1032.99975,12.726203,11.576687,43835.2912,153.93804,244.078409,14.237367,0.006375,179.59512,3680.644043,284.759317,345.736449,725.707903,3.241539,5.066083,5.283297,4.848868,352.714648,0.992178,1184.644566,457.534743,1185.144566,1544.965257,12.731793,11.624857,127643.0341,312.821302,13.24,0.002658,408.038178,8756.097656,829.184483,327.441632,3.571902,5.423792,5.539539,5.308046,358.0605,0.998172,2274.549765,612.296948,2275.049765,1390.203052,12.729891,11.452604,93050.95829,285.007194,13.23,0.00332,326.486349,6943.297363,604.470203,325.689873,3.70127,5.256384,5.402477,5.110291,348.28211,0.996335
sdssi,aligned_supersecret_ip_2459693d8916348489_2022d04d24T09d13d58d194_1a0153278_199d946_kb27_sophiarisin1.fit,6,0,59693.88586,2459693.886,NaN,NaN,2459693.89,1.015328,NaN,NaN,199.946,NaN,NaN,5.915932,7,13,20,0.200853,1.416624,0.705903,0.000624,0.00319,0.001589,321.995952,444.152405,444.152405,511752.2091,563.639714,1499.454565,969.838369,1499.954565,1032.661631,12.726203,11.576675,102786.7743,153.93804,298.468938,14.225257,0.003367,344.380139,5260.682617,667.715234,361.912535,725.707903,4.058508,5.782718,6.214239,5.351196,346.214997,0.971967,1185.058921,457.933918,1185.558921,1544.566082,12.731792,11.624836,299988.9747,424.414258,13.24,0.001535,706.830576,13591.33008,1948.764416,329.701469,4.243225,5.792867,6.236066,5.349669,350.402971,0.974054,2275.105488,612.14924,2275.605488,1390.35076,12.72989,11.452598,211763.2344,370.893873,13.23,0.0019,570.953714,10785.37891,1375.639409,323.478389,4.11712,5.780654,6.16627,5.395038,345.146434,0.976614
sdssi,aligned_supersecret_ip_2459693d8941037920_2022d04d24T09d17d31d426_1a0164322_199d937_kb27_sophiarisin1.fit,7,0,59693.88833,2459693.888,NaN,NaN,2459693.893,1.016432,NaN,NaN,199.937,NaN,NaN,6.019443,7,13,20,0.202333,1.39756,0.715533,0.00148,0.006769,0.003466,136.742112,206.456576,206.456576,167007.206,393.453065,1498.543903,968.867173,1499.043903,1033.632827,12.726207,11.576736,33791.14908,153.93804,233.941692,14.217281,0.007911,144.442612,1907.080444,219.511364,345.031636,725.707903,4.019075,5.85733,6.17078,5.543881,339.582876,0.980104,1184.092715,457.053331,1184.592715,1545.446669,12.731797,11.624865,97350.05094,289.748717,13.24,0.003227,335.980956,4839.87207,632.397625,333.320852,4.234835,5.74674,6.099179,5.3943,345.940571,0.980804,2274.128207,611.289263,2274.628207,1391.210737,12.729894,11.452648,69657.15503,266.178503,13.23,0.004141,261.69339,4060.68335,452.501247,334.263643,3.888488,5.720771,5.999434,5.442108,344.431061,0.987106
sdssi,aligned_supersecret_ip_2459693d8965727142_2022d04d24T09d21d04d755_1a0177678_199d943_kb27_sophiarisin1.fit,8,0,59693.8908,2459693.891,NaN,NaN,2459693.895,1.017768,NaN,NaN,199.943,NaN,NaN,5.821238,7,13,20,0.198347,1.407438,0.710511,0.00115,0.005469,0.002761,172.543871,257.336789,257.336789,225683.7546,427.018303,1498.928172,969.666708,1499.428172,1032.833292,12.726203,11.576673,44763.70551,153.93804,245.21859,14.238886,0.006274,182.546134,2730.173828,290.790408,347.039524,725.707903,3.953295,5.619724,6.088268,5.151181,342.158298,0.958435,1184.483067,457.816571,1184.983067,1544.683429,12.731792,11.624844,131939.3715,316.618328,13.24,0.002602,416.714258,7400.94043,857.094006,331.314549,3.865512,5.511012,5.920498,5.101526,344.562789,0.97035,2274.523643,612.01973,2275.023643,1390.48027,12.72989,11.452602,93744.38319,286.526554,13.23,0.003313,327.175202,5815.405762,608.974774,331.746613,3.625464,5.540227,5.889841,5.190614,338.590992,0.97063
sdssi,aligned_supersecret_ip_2459693d8990766052_2022d04d24T09d24d41d104_1a0193596_199d944_kb27_sophiarisin1.fit,9,0,59693.8933,2459693.893,NaN,NaN,2459693.898,1.01936,NaN,NaN,199.944,NaN,NaN,6.220101,7,13,20,0.19754,1.406599,0.710935,0.000934,0.004552,0.002301,211.487646,309.008813,309.008813,293133.653,462.847368,1499.595401,969.920567,1500.095401,1032.579433,12.726203,11.57667,57905.5274,153.93804,258.084108,14.243315,0.005122,224.366885,2978.793701,376.161262,349.484439,725.707903,4.278023,5.85629,6.221395,5.491185,345.539333,0.979864,1185.141619,458.050121,1185.641619,1544.449879,12.731792,11.624836,171329.5519,344.958708,13.24,0.002184,496.666841,7696.347168,1112.97735,331.225805,4.433972,5.928665,6.273089,5.584242,343.138201,0.980616,2275.204953,612.250064,2275.704953,1390.249936,12.72989,11.452595,121804.1012,308.595489,13.23,0.002747,394.704737,6053.505371,791.254073,329.179883,4.12707,5.847673,6.18851,5.506835,340.787169,0.978008
sdssi,aligned_supersecret_ip_2459693d9015361699_2022d04d24T09d28d14d281_1a0211651_199d939_kb27_sophiarisin1.fit,10,0,59693.89577,2459693.896,NaN,NaN,2459693.9,1.021165,NaN,NaN,199.939,NaN,NaN,6.214935,7,13,20,0.201197,1.420456,0.703999,0.001093,0.005267,0.00261,184.031139,269.715276,269.715276,241236.12,435.17883,1499.185035,970.004941,1499.685035,1032.495059,12.726203,11.576679,48536.02414,153.93804,248.780234,14.223396,0.005884,195.095982,2730.066895,315.295843,346.624358,725.707903,4.181501,5.629066,5.779532,5.4786,337.759954,0.994394,1184.780538,458.136428,1185.280538,1544.363572,12.731793,11.624838,141570.5655,323.651747,13.24,0.002479,437.416349,7305.489258,919.6594,330.380536,4.18469,5.603653,5.739874,5.467433,345.808959,0.99695,2274.841674,612.369864,2275.341674,1390.130136,12.72989,11.4526,99665.55458,290.912634,13.23,0.003165,342.596171,5763.989746,647.439415,328.517628,4.058512,5.626238,5.726758,5.525718,332.65298,0.99618
