Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
sdssr,aligned_supersecret_rp_2459693d7598689641_2022d04d24T06d04d38d831_1a3631634_149d946_kb27_sophiarisin1.fit,1,0,59693.7541,2459693.754,NaN,NaN,2459693.759,1.363163,NaN,NaN,149.946,NaN,NaN,5.425972,7,13,20,0.285153,1.381325,0.723942,0.000405,0.001799,0.000943,704.490772,767.658844,767.658844,1294501.176,830.15656,1499.348565,969.612547,1499.848565,1032.887453,12.726202,11.576675,369131.1473,153.93804,467.446295,13.844755,0.00154,789.676057,12019.03516,2397.920275,391.794939,725.707903,5.458345,6.823539,6.004539,7.64254,284.724546,0.926149,1185.221645,457.64374,1185.721645,1544.85626,12.731792,11.624838,750895.8332,628.026548,13.24,0.000908,1195.643457,24634.64453,4877.909535,325.602541,5.257341,6.863172,6.0302,7.696143,284.230548,0.925962,2275.009955,612.534761,2275.509955,1389.965239,12.72989,11.452601,543605.3427,542.901989,13.23,0.001084,1001.295544,18730.61914,3531.325607,314.741718,5.562231,6.721806,5.821495,7.622117,284.155527,0.910652
sdssr,aligned_supersecret_rp_2459693d7617600299_2022d04d24T06d07d22d172_1a3493771_149d948_kb27_sophiarisin1.fit,2,0,59693.75599,2459693.756,NaN,NaN,2459693.761,1.349377,NaN,NaN,149.948,NaN,NaN,5.926628,7,13,20,0.287424,1.432229,0.698212,0.000389,0.001796,0.000875,738.60617,797.530289,797.530289,1394969.246,858.100747,1499.691951,969.321612,1500.191951,1033.178388,12.726203,11.576675,400948.1511,153.93804,483.579476,13.836141,0.001469,829.125658,20884.63477,2604.607354,393.957086,725.707903,4.19007,5.749481,5.936602,5.562361,330.494674,0.984052,1185.599525,457.341409,1186.099525,1545.158591,12.731794,11.624836,821433.9,653.957342,13.24,0.000864,1256.097068,41092.54688,5336.13329,321.700619,4.254932,5.715579,5.909634,5.521525,335.868711,0.98962,2275.368093,612.198936,2275.868093,1390.301064,12.729891,11.4526,573535.3456,555.586795,13.23,0.001051,1032.305575,33643.91016,3725.754501,311.159763,3.908909,5.394599,5.569267,5.219931,331.355647,0.985671
sdssr,aligned_supersecret_rp_2459693d7636626912_2022d04d24T06d10d05d929_1a3360282_149d942_kb27_sophiarisin1.fit,3,0,59693.75788,2459693.758,NaN,NaN,2459693.763,1.336028,NaN,NaN,149.942,NaN,NaN,5.705679,7,13,20,0.288093,1.431575,0.698531,0.000498,0.002272,0.001109,578.323942,630.081011,630.081011,917254.6324,713.237468,1498.851683,969.393642,1499.351683,1033.106358,12.726202,11.576669,264255.0907,153.93804,408.124731,13.833617,0.001876,647.486101,16831.61719,1716.632813,369.294226,725.707903,3.674987,5.592653,5.898043,5.287262,345.915316,0.984744,1184.693051,457.426786,1185.193051,1545.073214,12.731793,11.624838,540028.1222,541.727199,13.24,0.001089,996.863593,31713.25195,3508.087554,319.572524,3.773751,5.729611,5.956322,5.502901,352.692287,0.993332,2274.55565,612.238703,2275.05565,1390.261297,12.729891,11.452596,377226.5101,463.938927,13.23,0.001334,813.095191,23512.04102,2450.508725,311.644232,3.741671,5.469434,5.687075,5.251792,342.524064,0.990602
sdssr,aligned_supersecret_rp_2459693d7655769028_2022d04d24T06d12d51d942_1a3229683_149d942_kb27_sophiarisin1.fit,4,0,59693.7598,2459693.76,NaN,NaN,2459693.765,1.322968,NaN,NaN,149.942,NaN,NaN,5.53407,7,13,20,0.28185,1.316877,0.759372,0.000922,0.00374,0.002157,305.530192,352.075407,352.075407,348410.5172,487.397054,1499.326105,969.691887,1499.826105,1032.808113,12.726203,11.57667,98199.67827,153.93804,290.570777,13.857403,0.003548,337.95442,6758.470215,637.916906,334.850714,725.707903,3.69194,5.157887,5.433792,4.881982,342.620794,0.98314,1185.135124,457.72058,1185.635124,1544.77942,12.731793,11.624839,198031.1349,360.837271,13.24,0.001977,548.810089,12406.62695,1286.434041,314.968138,3.735995,5.328307,5.579417,5.077197,353.831745,0.990732,2275.011441,612.503542,2275.511441,1389.996458,12.729891,11.452593,150379.3823,327.646688,13.23,0.002363,458.968114,10679.15137,976.882532,313.168838,3.468595,5.000939,5.236381,4.765496,345.607693,0.988509
sdssr,aligned_supersecret_rp_2459693d7674676920_2022d04d24T06d15d35d104_1a3105177_149d938_kb27_sophiarisin1.fit,5,0,59693.76169,2459693.762,NaN,NaN,2459693.767,1.310518,NaN,NaN,149.938,NaN,NaN,5.164208,7,13,20,0.286708,1.368296,0.730836,0.000465,0.00203,0.001084,616.151187,673.986784,673.986784,1022956.902,747.453272,1498.960892,969.438448,1499.460892,1033.061552,12.726203,11.576667,293290.3135,153.93804,425.034894,13.838849,0.001761,690.038201,21954.27148,1905.249109,372.249365,725.707903,3.138947,5.214613,5.464496,4.96473,344.654246,0.987636,1184.791074,457.510695,1185.291074,1544.989305,12.731793,11.624838,591018.9312,563.577022,13.24,0.001035,1048.692385,41197.16406,3839.329974,318.102329,3.366226,5.336975,5.535807,5.138143,355.279291,0.99431,2274.635126,612.292852,2275.135126,1390.207148,12.729891,11.452595,431937.9705,490.986083,13.23,0.001233,879.735669,34977.82422,2805.920944,309.111229,3.453381,5.115572,5.268764,4.962381,340.115861,0.993939
sdssr,aligned_supersecret_rp_2459693d8818373000_2022d04d24T09d00d16d589_1a0131883_149d944_kb27_sophiarisin1.fit,6,0,59693.87606,2459693.876,NaN,NaN,2459693.881,1.013188,NaN,NaN,149.944,NaN,NaN,5.918282,7,13,20,0.289584,1.389482,0.719693,0.000695,0.003012,0.00156,416.939492,461.311713,461.311713,534911.1786,568.865135,1499.101283,969.732846,1499.601283,1032.767154,12.726203,11.576674,154901.9562,153.93804,333.002582,13.828012,0.002601,465.167433,7888.403809,1006.261715,328.753642,725.707903,4.17697,5.868389,6.456057,5.28072,346.581748,0.950614,1184.789051,457.800681,1185.289051,1544.699319,12.731793,11.624828,311050.4184,427.55893,13.24,0.001491,727.503033,14173.3418,2020.620883,301.287063,4.25845,5.795929,6.374098,5.217759,348.947643,0.954539,2274.707867,612.102526,2275.207867,1390.397474,12.72989,11.452603,223860.7602,375.234464,13.23,0.001818,596.589018,11477.86426,1454.22639,295.807784,4.155216,5.794288,6.34313,5.245445,344.623442,0.952266
sdssr,aligned_supersecret_rp_2459693d8837281470_2022d04d24T09d03d00d417_1a01332_149d948_kb27_sophiarisin1.fit,7,0,59693.87796,2459693.878,NaN,NaN,2459693.883,1.01332,NaN,NaN,149.948,NaN,NaN,5.518959,7,13,20,0.293234,1.400523,0.714019,0.000711,0.003097,0.001579,412.18471,452.23644,452.23644,520381.7635,563.560635,1499.286647,969.957065,1499.786647,1032.542935,12.726203,11.576675,152593.7922,153.93804,331.276518,13.814413,0.002631,460.62363,10357.93457,991.267605,328.219414,725.707903,3.727466,5.19433,5.45056,4.9381,342.709689,0.985711,1184.951945,458.093262,1185.451945,1544.406738,12.731793,11.624833,303603.2297,423.28804,13.24,0.001513,717.249723,20503.60156,1972.243051,300.301184,3.560494,5.005093,5.26917,4.741016,352.599134,0.988153,2274.93229,612.375112,2275.43229,1390.124888,12.72989,11.452594,216778.5338,372.058899,13.23,0.001862,582.645743,17883.10742,1408.219396,307.055618,3.350636,4.940934,5.16131,4.720559,340.93948,0.987194
sdssr,aligned_supersecret_rp_2459693d8856192119_2022d04d24T09d05d43d777_1a013585_149d94_kb27_sophiarisin1.fit,8,0,59693.87985,2459693.88,NaN,NaN,2459693.885,1.013585,NaN,NaN,149.94,NaN,NaN,5.81282,7,13,20,0.292581,1.395187,0.71675,0.000527,0.002315,0.00119,555.148755,602.546073,602.546073,839357.1379,684.309404,1499.098506,969.798107,1499.598506,1032.701893,12.726203,11.576674,245580.3388,153.93804,394.465932,13.816833,0.001954,622.564128,13497.37793,1595.319382,346.000922,725.707903,4.087821,5.578569,6.145462,5.011677,344.507198,0.944941,1184.738426,457.915263,1185.238426,1544.584737,12.731792,11.624833,488922.1874,517.114528,13.24,0.001148,945.481437,25610.23438,3176.097262,300.161152,3.950891,5.484269,6.009048,4.95949,345.983687,0.953842,2274.705779,612.153811,2275.205779,1390.346189,12.72989,11.452599,350434.9505,448.187377,13.23,0.001388,781.893843,21089.84375,2276.467535,293.529904,3.88079,5.442916,5.999682,4.886151,343.02901,0.940439
sdssr,aligned_supersecret_rp_2459693d8875088422_2022d04d24T09d08d26d966_1a013983_149d942_kb27_sophiarisin1.fit,9,0,59693.88174,2459693.882,NaN,NaN,2459693.887,1.013983,NaN,NaN,149.942,NaN,NaN,6.033112,7,13,20,0.29396,1.411067,0.708684,0.000529,0.002348,0.001179,555.653331,600.910565,600.910565,837693.5768,683.907431,1499.190245,969.106506,1499.690245,1033.393494,12.726204,11.576678,246248.095,153.93804,394.944086,13.811731,0.001952,623.501157,11813.5293,1599.657206,346.670321,725.707903,4.211346,5.781237,6.175485,5.386988,343.551067,0.973858,1184.852735,457.220297,1185.352735,1545.279703,12.731793,11.624836,490256.6521,517.747102,13.24,0.001146,946.90371,24188.13086,3184.766104,300.376842,4.217003,5.721079,6.11251,5.329648,343.179124,0.973235,2274.807522,611.513218,2275.307522,1390.986782,12.72989,11.452601,347436.9247,446.841484,13.23,0.001395,777.539547,19022.08398,2256.991999,296.039837,3.858165,5.657232,6.080576,5.233889,342.489153,0.966972
sdssr,aligned_supersecret_rp_2459693d8893980389_2022d04d24T09d11d10d238_1a0145142_149d939_kb27_sophiarisin1.fit,10,0,59693.88363,2459693.884,NaN,NaN,2459693.889,1.014514,NaN,NaN,149.939,NaN,NaN,6.047763,7,13,20,0.292793,1.402672,0.712925,0.000527,0.00233,0.001184,555.08958,601.952526,601.952526,839475.213,684.659132,1498.737417,969.60813,1499.237417,1032.89187,12.726203,11.576678,245792.639,153.93804,394.8222,13.816048,0.001954,622.540067,12852.47461,1596.698509,348.027909,725.707903,4.12595,5.619432,6.128102,5.110762,345.261739,0.957453,1184.418348,457.729831,1184.918348,1544.770169,12.731793,11.624831,490082.9012,517.827383,13.24,0.001147,946.421369,26495.64453,3183.637398,302.243734,4.079343,5.474064,5.95549,4.992638,344.496769,0.95853,2274.336405,612.004779,2274.836405,1390.495221,12.72989,11.452601,349392.3118,447.898346,13.23,0.001391,780.070555,19407.50586,2269.694428,296.20285,3.904885,5.42219,5.914539,4.929841,342.319495,0.951219
