Band,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
bessellv,aligned_supersecret_V_2459693d7882466279_2022d04d24T06d45d54d888_1a1970277_99d939_kb27_sophiarisin1.fit,1,0,59693.78246,2459693.782,NaN,NaN,2459693.788,1.197028,NaN,NaN,99.939,NaN,NaN,3.972535,7,13,20,0.297928,1.43469,0.697015,0.001184,0.00513,0.002492,251.632414,279.689157,279.689157,238496.6063,414.961926,1499.134039,969.294453,1499.634039,1033.205547,12.726203,11.576685,71054.79363,153.93804,253.873551,13.797172,0.004306,279.882616,3980.740234,461.580475,256.18167,725.707903,3.875656,5.871393,6.366336,5.37645,348.113393,0.966538,1184.896585,457.350769,1185.396585,1545.149231,12.731793,11.624864,140538.926,310.361063,13.24,0.002395,452.823962,7404.889648,912.957746,242.502098,4.049561,5.990606,6.37849,5.602723,348.974297,0.980642,2274.74596,612.042662,2275.24596,1390.457338,12.729891,11.452616,97957.68026,275.444025,13.23,0.003049,355.635524,5473.984863,636.344858,240.501103,3.992387,5.726428,6.150535,5.302322,348.984575,0.974745
bessellv,aligned_supersecret_V_2459693d7895576512_2022d04d24T06d47d48d209_1a1911321_99d935_kb27_sophiarisin1.fit,2,0,59693.78378,2459693.784,NaN,NaN,2459693.789,1.191132,NaN,NaN,99.935,NaN,NaN,4.710903,7,13,20,0.298737,1.401434,0.713555,0.001071,0.004541,0.002312,278.88314,308.64289,308.64289,274667.0706,434.932977,1499.100764,969.734377,1499.600764,1032.765623,12.726203,11.576686,82053.35203,153.93804,263.977551,13.794226,0.003886,310.834583,6205.892578,533.028432,256.124988,725.707903,3.447481,5.257254,5.813959,4.700549,345.426105,0.942494,1184.888458,457.752983,1185.388458,1544.747017,12.731792,11.624857,160290.818,324.980301,13.24,0.002199,493.232413,10912.67676,1041.268409,241.18024,3.255497,5.316614,5.826892,4.806336,345.591363,0.952873,2274.779605,612.456716,2275.279605,1390.043284,12.72989,11.452613,114376.2526,289.057951,13.23,0.00274,395.686236,9791.522461,743.001876,239.001157,3.457196,4.991937,5.531318,4.452556,342.007876,0.930315
bessellv,aligned_supersecret_V_2459693d7908570250_2022d04d24T06d49d41d328_1a1853706_99d941_kb27_sophiarisin1.fit,3,0,59693.78508,2459693.785,NaN,NaN,2459693.79,1.185371,NaN,NaN,99.941,NaN,NaN,4.902547,7,13,20,0.302645,1.419226,0.704609,0.000838,0.003629,0.001802,361.263453,391.037948,391.037948,398079.7729,497.863898,1499.4001,969.307652,1499.9001,1033.192348,12.726203,11.576693,120477.0012,153.93804,297.507783,13.780115,0.003001,404.954116,9736.419922,782.633072,262.087078,725.707903,3.456835,5.059637,5.588207,4.531067,342.257633,0.935574,1185.176838,457.340649,1185.676838,1545.159351,12.731793,11.624861,233531.3883,374.969116,13.24,0.001742,622.801662,17929.85742,1517.047952,242.453938,3.388965,5.153973,5.678609,4.629337,345.706892,0.947344,2275.101909,612.089565,2275.601909,1390.410435,12.72989,11.452613,164548.3846,327.515836,13.23,0.002159,502.413521,13681.76563,1068.926073,236.982377,3.150938,4.867653,5.40564,4.329666,344.17896,0.934202
bessellv,aligned_supersecret_V_2459693d7921680580_2022d04d24T06d51d34d509_1a1797155_99d939_kb27_sophiarisin1.fit,4,0,59693.78639,2459693.786,NaN,NaN,2459693.792,1.179716,NaN,NaN,99.939,NaN,NaN,4.7547,7,13,20,0.299369,1.44011,0.694391,0.000956,0.004204,0.002027,313.186728,342.55404,342.55404,323984.1214,461.022892,1499.062547,970.001351,1499.562547,1032.498649,12.726202,11.576687,96990.95575,153.93804,277.235896,13.791932,0.003461,349.849918,7569.053223,630.0649,256.82778,725.707903,3.18878,5.075684,5.560968,4.590401,340.578373,0.940812,1184.831791,458.024566,1185.331791,1544.475434,12.731793,11.624862,191209.743,346.880576,13.24,0.001968,551.226435,15417.03809,1242.12146,241.074842,3.232875,5.132009,5.59428,4.669737,342.167599,0.951619,2274.746547,612.762575,2275.246547,1389.737425,12.72989,11.452607,132774.3784,303.670831,13.23,0.00248,437.231254,12257.35156,862.518312,237.880853,2.939898,4.815997,5.277107,4.354888,341.788585,0.944391
bessellv,aligned_supersecret_V_2459693d7934790859_2022d04d24T06d53d27d811_1a1741896_99d937_kb27_sophiarisin1.fit,5,0,59693.78771,2459693.788,NaN,NaN,2459693.793,1.17419,NaN,NaN,99.937,NaN,NaN,5.199342,7,13,20,0.300472,1.410834,0.708801,0.001152,0.004893,0.002458,260.890074,288.360328,288.360328,248202.0185,420.026692,1498.940934,969.335778,1499.440934,1033.164222,12.726203,11.576756,74577.77078,153.93804,256.490412,13.78794,0.004154,290.762412,4939.442871,484.466158,252.332012,725.707903,3.77762,5.505204,6.329049,4.681359,345.288416,0.887042,1184.671723,457.367168,1185.171723,1545.132832,12.731794,11.624893,145249.2537,313.65345,13.24,0.002342,463.088334,9636.171875,943.5566,240.380472,3.797095,5.489404,6.277837,4.700971,345.622309,0.896933,2274.516789,612.1222,2275.016789,1390.3778,12.729892,11.452671,102952.7648,279.363446,13.23,0.002942,368.526256,7636.237793,668.793528,238.204223,3.26861,5.185713,5.990879,4.380548,344.652702,0.875656
bessellv,aligned_supersecret_V_2459693d9101113430_2022d04d24T09d41d24d782_1a0292585_99d936_kb27_sophiarisin1.fit,6,0,59693.90434,2459693.904,NaN,NaN,2459693.91,1.029258,NaN,NaN,99.936,NaN,NaN,5.212299,7,13,20,0.299307,1.354022,0.738541,0.003943,0.015034,0.0082,75.906985,90.061931,90.061931,53845.22064,290.857421,1499.284004,969.2971,1499.784004,1033.2029,12.726204,11.576667,16116.23919,153.93804,193.647229,13.792159,0.01421,83.224734,1347.867798,104.693026,247.275844,725.707903,3.413537,5.435108,5.841173,5.029043,336.702985,0.953239,1184.709373,457.476141,1185.209373,1545.023859,12.731794,11.624858,30971.50574,210.248188,13.24,0.007346,147.309263,2351.905762,201.194622,243.124216,3.812527,5.352149,5.621831,5.082468,344.414418,0.986198,2274.68922,611.729467,2275.18922,1390.770533,12.729891,11.452609,22873.7149,200.981936,13.23,0.009498,113.809805,1934.291992,148.5904,243.636624,3.211492,5.171105,5.538685,4.803525,336.222603,0.95607
bessellv,aligned_supersecret_V_2459693d9114224068_2022d04d24T09d43d18d262_1a0307619_99d94_kb27_sophiarisin1.fit,7,0,59693.90565,2459693.906,NaN,NaN,2459693.911,1.030762,NaN,NaN,99.94,NaN,NaN,5.622561,7,13,20,0.312179,1.414131,0.707148,0.002144,0.008725,0.004363,145.630476,162.082317,162.082317,111771.4095,334.469388,1499.297323,969.18121,1499.797323,1033.31879,12.726204,11.576691,34892.66714,153.93804,215.649073,13.746442,0.00743,161.803001,2326.628174,226.666957,247.997396,725.707903,3.72278,5.570123,5.694578,5.445667,329.13599,0.991108,1184.802968,457.353067,1185.302968,1545.146933,12.731793,11.624857,65472.58928,246.078722,13.24,0.004073,266.063594,3940.550049,425.317805,242.238983,3.989767,5.595321,5.667956,5.522686,323.025845,0.991186,2274.779075,611.442715,2275.279075,1391.057285,12.729891,11.452619,46298.82022,226.528219,13.23,0.005299,204.384339,3278.983643,300.762698,241.008444,3.942836,5.346408,5.42754,5.265275,322.649059,0.986774
bessellv,aligned_supersecret_V_2459693d9127333700_2022d04d24T09d45d11d688_1a0323313_99d945_kb27_sophiarisin1.fit,8,0,59693.90696,2459693.907,NaN,NaN,2459693.912,1.032331,NaN,NaN,99.945,NaN,NaN,5.370482,7,13,20,0.31093,1.46906,0.680707,0.001199,0.005256,0.002435,259.223672,279.495495,279.495495,239587.1836,415.590238,1498.446443,969.082272,1498.946443,1033.417728,12.726206,11.576767,74494.86572,153.93804,256.686063,13.750794,0.00418,290.217804,4992.661621,483.927597,253.906207,725.707903,3.524153,5.481208,5.659274,5.303143,337.169342,0.991376,1183.982577,457.245612,1184.482577,1545.254388,12.731796,11.624892,142551.4104,311.825324,13.24,0.002372,457.151487,9122.432617,926.031086,241.969869,3.795825,5.519763,5.648609,5.390917,333.069777,0.99374,2273.944082,611.410955,2274.444082,1391.089045,12.729894,11.452672,97035.77325,274.736625,13.23,0.00307,353.195622,6912.72168,630.35604,241.061554,3.168906,5.358274,5.487593,5.228956,328.978994,0.989412
bessellv,aligned_supersecret_V_2459693d9140674942_2022d04d24T09d47d06d230_1a033989_99d942_kb27_sophiarisin1.fit,9,0,59693.90829,2459693.908,NaN,NaN,2459693.913,1.033989,NaN,NaN,99.942,NaN,NaN,5.783614,7,13,20,0.305662,1.431813,0.698415,0.000814,0.003556,0.001734,375.454226,402.691167,402.691167,418697.3268,508.014639,1499.337698,969.176966,1499.837698,1033.323034,12.726203,11.576691,127979.7458,153.93804,303.443334,13.769348,0.002888,421.758303,7226.321777,831.371803,262.022243,725.707903,3.951029,5.61961,6.174188,5.065032,342.735325,0.943705,1184.907587,457.325725,1185.407587,1545.174275,12.731793,11.624851,246522.3362,383.341675,13.24,0.001687,643.087752,13060.77344,1601.43871,244.286573,4.077074,5.771506,6.262432,5.280579,342.835914,0.958171,2274.898867,611.416332,2275.398867,1391.083668,12.729891,11.452614,172174.9906,333.358716,13.23,0.0021,516.485643,10541.08691,1118.469421,239.567452,3.952259,5.45211,6.02063,4.88359,342.035646,0.935087
bessellv,aligned_supersecret_V_2459693d9153899942_2022d04d24T09d49d00d729_1a0357219_99d934_kb27_sophiarisin1.fit,10,0,59693.90962,2459693.91,NaN,NaN,2459693.915,1.035722,NaN,NaN,99.934,NaN,NaN,5.422424,7,13,20,0.306498,1.424687,0.701909,0.000766,0.003333,0.001642,399.867229,427.413749,427.413749,460344.3252,526.886368,1499.577141,969.383616,1500.077141,1033.116384,12.726203,11.576687,141094.6409,153.93804,313.730528,13.766381,0.002712,449.731946,10409.69531,916.567737,263.190568,725.707903,3.624822,5.317936,5.534166,5.101705,338.683569,0.987822,1185.123768,457.520324,1185.623768,1544.979676,12.731794,11.624858,270487.0781,397.834829,13.24,0.001596,679.897933,17960.85352,1757.116552,243.272988,3.496647,5.538895,5.725614,5.352177,340.855602,0.992638,2275.143892,611.571197,2275.643892,1390.928803,12.729891,11.45262,189857.2471,345.451435,13.23,0.001974,549.591717,14325.74609,1233.335484,237.187664,3.362187,5.052462,5.251632,4.853292,338.876192,0.988692
